salma_pbdb,salma_updated,max_ma,min_ma,notes
Lujanian,Lujanian,0.78,0.01,
Ensenadan,Ensenadan,2,0.78,
Uquian,Marplatan,3.27,2,"Uquian is no longer used, but falls into the Marplatan (new) (3.27-2Ma)"
Chapadmalalan,Chapadmalalan,4.75,3.27,
Montehermosan,Montehermosan,5.28,4.75,
Huayquerian,Huayquerian,8.5,5.28,
Chasicoan,Chasicoan,10,8.7,
Mayoan,Mayoan,11.8,10,
Laventan,Laventan,13.5,11.8,
Colloncuran,Colloncuran,15.7,14,
Friasian,Santacrucian,18,15.6,"Friasian is no longer used, falls inside the Santacrucian"
Santacrucian,Santacrucian,18,15.6,
Colhuehuapian,Colhuehuapian,21,20.1,
Deseadan,Deseadan,29.4,24.2,
Tinguirirican,Tinguirirican,33.7,31.6,
Mustersan,Mustersan,38.2,38,
Casamayoran,Vacan_Barrancan,46,39,"Casamayoran is not used now, but its subepochs Vacan (46-44Ma) & Barrancan (41.7-39Ma) are used."
Riochican,Riochican,49,48.5,
Itaboraian,Itaboraian,53,49.512,
Peligran,Peligran,63.8,63.2,
Tiupampan,Tiupampan,65.6,64,